[ 2015-05-06T08:19:45+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2015-05-06T08:19:45+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-05-06T08:19:45+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-05-06T08:35:42+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2015-05-06T08:35:42+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007000s ]
[ 2015-05-06T08:35:42+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007000s ]
[ 2015-05-06T08:35:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2015-05-06T08:35:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-05-06T08:35:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.009000s ]
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.009000s ]
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2015-05-06T08:35:51+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.011001s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.011001s ]
[ 2015-05-06T08:35:54+08:00 ] /index.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.101006s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.101006s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.005000s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.007001s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.012000s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.009001s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.034002s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005000s ]
[ 2015-05-06T08:35:55+08:00 ] /index.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005000s ]
[ 2015-05-06T08:36:01+08:00 ] /index.php/Login/register | INFO: Tag[ route_check ] --START--
